name,vrom_start,vrom_end,vram_start
boot,1060,12F70,80000460
code,A94000,BCEF30,8001CE60
ovl_title,BCEF30,BCFAC0,80800000
ovl_select,BCFAC0,BD2B20,80800B90
ovl_opening,BD2B20,BD2C70,80803BF0
ovl_file_choose,BD2C70,BE2730,80803D40
ovl_kaleido_scope,BE2730,C010B0,80813820
ovl_player_actor,C010B0,C27940,80832210
ovl_map_mark_data,C27940,C2E420,80858B70
ovl_En_Test,C2E420,C33CD0,8085F650
ovl_Arms_Hook,C33CD0,C34AE0,80864F00
ovl_Arrow_Fire,C34AE0,C36AA0,80865D10
ovl_Arrow_Ice,C36AA0,C38A80,80867CD0
ovl_Arrow_Light,C38A80,C3AA70,80869CB0
ovl_Bg_Bdan_Objects,C3AA70,C3BDE0,8086BCA0
ovl_Bg_Bdan_Switch,C3BDE0,C3D320,8086D010
ovl_Bg_Bom_Guard,C3D320,C3D5A0,8086E550
ovl_Bg_Bombwall,C3D5A0,C3DF30,8086E7D0
ovl_Bg_Bowl_Wall,C3DF30,C3E9B0,8086F160
ovl_Bg_Breakwall,C3E9B0,C3F880,8086FBE0
ovl_Bg_Ddan_Jd,C3F880,C3FEC0,80870AB0
ovl_Bg_Ddan_Kd,C3FEC0,C407D0,808710F0
ovl_Bg_Dodoago,C407D0,C41590,80871A00
ovl_Bg_Dy_Yoseizo,C41590,C44680,80872830
ovl_Bg_Ganon_Otyuka,C44680,C46EC0,80875920
ovl_Bg_Gate_Shutter,C46EC0,C47420,80878160
ovl_Bg_Gjyo_Bridge,C47420,C47990,808786C0
ovl_Bg_Gnd_Darkmeiro,C47990,C48220,80878C30
ovl_Bg_Gnd_Firemeiro,C48220,C48800,808794C0
ovl_Bg_Gnd_Iceblock,C48800,C499A0,80879AA0
ovl_Bg_Gnd_Nisekabe,C499A0,C49B10,8087AC50
ovl_Bg_Gnd_Soulmeiro,C49B10,C4A400,8087ADC0
ovl_Bg_Haka,C4A400,C4AB40,8087B6B0
ovl_Bg_Haka_Gate,C4AB40,C4BD00,8087BDF0
ovl_Bg_Haka_Huta,C4BD00,C4C780,8087CFC0
ovl_Bg_Haka_Megane,C4C780,C4CB70,8087DA40
ovl_Bg_Haka_MeganeBG,C4CB70,C4D220,8087DE30
ovl_Bg_Haka_Sgami,C4D220,C4DE40,8087E4E0
ovl_Bg_Haka_Ship,C4DE40,C4E9E0,8087F100
ovl_Bg_Haka_Trap,C4E9E0,C4FF90,8087FCA0
ovl_Bg_Haka_Tubo,C4FF90,C50A40,80881250
ovl_Bg_Haka_Water,C50A40,C51300,80881D00
ovl_Bg_Haka_Zou,C51300,C524D0,808825C0
ovl_Bg_Heavy_Block,C524D0,C53EE0,80883790
ovl_Bg_Hidan_Curtain,C53EE0,C54B60,808851A0
ovl_Bg_Hidan_Dalm,C54B60,C553A0,80885E20
ovl_Bg_Hidan_Firewall,C553A0,C55B80,80886660
ovl_Bg_Hidan_Fslift,C55B80,C56030,80886E40
ovl_Bg_Hidan_Fwbig,C56030,C56D80,808872F0
ovl_Bg_Hidan_Hamstep,C56D80,C57E70,80888040
ovl_Bg_Hidan_Hrock,C57E70,C586A0,80889130
ovl_Bg_Hidan_Kousi,C586A0,C58D60,80889960
ovl_Bg_Hidan_Kowarerukabe,C58D60,C59DC0,8088A020
ovl_Bg_Hidan_Rock,C59DC0,C5AF40,8088B080
ovl_Bg_Hidan_Rsekizou,C5AF40,C5BC00,8088C200
ovl_Bg_Hidan_Sekizou,C5BC00,C5D110,8088CEC0
ovl_Bg_Hidan_Sima,C5D110,C5E100,8088E3D0
ovl_Bg_Hidan_Syoku,C5E100,C5E550,8088F3C0
ovl_Bg_Ice_Objects,C5E550,C5F480,8088F810
ovl_Bg_Ice_Shelter,C5F480,C60800,80890740
ovl_Bg_Ice_Shutter,C60800,C60C60,80891AC0
ovl_Bg_Ice_Turara,C60C60,C61480,80891F20
ovl_Bg_Ingate,C61480,C618A0,80892740
ovl_Bg_Jya_1flift,C618A0,C62000,80892B60
ovl_Bg_Jya_Amishutter,C62000,C62420,808932C0
ovl_Bg_Jya_Bigmirror,C62420,C62EE0,808936E0
ovl_Bg_Jya_Block,C62EE0,C631E0,808941A0
ovl_Bg_Jya_Bombchuiwa,C631E0,C63EE0,808944A0
ovl_Bg_Jya_Bombiwa,C63EE0,C64630,808951A0
ovl_Bg_Jya_Cobra,C64630,C666B0,808958F0
ovl_Bg_Jya_Goroiwa,C666B0,C66E00,80897970
ovl_Bg_Jya_Haheniron,C66E00,C675E0,808980C0
ovl_Bg_Jya_Ironobj,C675E0,C68480,808988A0
ovl_Bg_Jya_Kanaami,C68480,C688E0,80899740
ovl_Bg_Jya_Lift,C688E0,C68E70,80899BA0
ovl_Bg_Jya_Megami,C68E70,C6A180,8089A130
ovl_Bg_Jya_Zurerukabe,C6A180,C6A9B0,8089B440
ovl_Bg_Menkuri_Eye,C6A9B0,C6AEE0,8089BC70
ovl_Bg_Menkuri_Kaiten,C6AEE0,C6B060,8089C1B0
ovl_Bg_Menkuri_Nisekabe,C6B060,C6B1B0,8089C330
ovl_Bg_Mizu_Bwall,C6B1B0,C6C960,8089C480
ovl_Bg_Mizu_Movebg,C6C960,C6DB70,8089DC30
ovl_Bg_Mizu_Shutter,C6DB70,C6E400,8089EE50
ovl_Bg_Mizu_Uzu,C6E400,C6E5D0,8089F6E0
ovl_Bg_Mizu_Water,C6E5D0,C6F4A0,8089F8B0
ovl_Bg_Mjin,C6F4A0,C6F8E0,808A0780
ovl_Bg_Mori_Bigst,C6F8E0,C70520,808A0BC0
ovl_Bg_Mori_Elevator,C70520,C71280,808A1800
ovl_Bg_Mori_Hashigo,C71280,C71D80,808A2560
ovl_Bg_Mori_Hashira4,C71D80,C724E0,808A3060
ovl_Bg_Mori_Hineri,C724E0,C73350,808A37D0
ovl_Bg_Mori_Idomizu,C73350,C73AD0,808A4640
ovl_Bg_Mori_Kaitenkabe,C73AD0,C74280,808A4DC0
ovl_Bg_Mori_Rakkatenjo,C74280,C74F20,808A5570
ovl_Bg_Po_Event,C74F20,C76DB0,808A6210
ovl_Bg_Po_Syokudai,C76DB0,C777E0,808A80B0
ovl_Bg_Pushbox,C777E0,C77B50,808A8AE0
ovl_Bg_Relay_Objects,C77B50,C782E0,808A8E50
ovl_Bg_Spot00_Break,C782E0,C78480,808A95E0
ovl_Bg_Spot00_Hanebasi,C78480,C796C0,808A9780
ovl_Bg_Spot01_Fusya,C796C0,C799E0,808AA9C0
ovl_Bg_Spot01_Idohashira,C799E0,C7A7E0,808AACE0
ovl_Bg_Spot01_Idomizu,C7A7E0,C7AB80,808ABAE0
ovl_Bg_Spot01_Idosoko,C7AB80,C7AE40,808ABE80
ovl_Bg_Spot01_Objects2,C7AE40,C7B360,808AC140
ovl_Bg_Spot02_Objects,C7B360,C7C7E0,808AC660
ovl_Bg_Spot03_Taki,C7C7E0,C7D170,808ADAE0
ovl_Bg_Spot05_Soko,C7D170,C7D480,808AE470
ovl_Bg_Spot06_Objects,C7D480,C7E930,808AE780
ovl_Bg_Spot07_Taki,C7E930,C7EFD0,808AFC30
ovl_Bg_Spot08_Bakudankabe,C7EFD0,C7F660,808B02D0
ovl_Bg_Spot08_Iceblock,C7F660,C807E0,808B0960
ovl_Bg_Spot09_Obj,C807E0,C80E80,808B1AE0
ovl_Bg_Spot11_Bakudankabe,C80E80,C814F0,808B2180
ovl_Bg_Spot11_Oasis,C814F0,C81C90,808B27F0
ovl_Bg_Spot12_Gate,C81C90,C82120,808B2F90
ovl_Bg_Spot12_Saku,C82120,C82660,808B3420
ovl_Bg_Spot15_Rrbox,C82660,C83550,808B3960
ovl_Bg_Spot15_Saku,C83550,C83930,808B4850
ovl_Bg_Spot16_Bombstone,C83930,C85140,808B4C30
ovl_Bg_Spot16_Doughnut,C85140,C858C0,808B6440
ovl_Bg_Spot17_Bakudankabe,C858C0,C86100,808B6BC0
ovl_Bg_Spot17_Funen,C86100,C86410,808B7400
ovl_Bg_Spot18_Basket,C86410,C87480,808B7710
ovl_Bg_Spot18_Futa,C87480,C87610,808B8780
ovl_Bg_Spot18_Obj,C87610,C880D0,808B8910
ovl_Bg_Spot18_Shutter,C880D0,C88610,808B93D0
ovl_Bg_Sst_Floor,C88610,C88C00,808B9910
ovl_Bg_Toki_Hikari,C88C00,C89B40,808B9F00
ovl_Bg_Toki_Swd,C89B40,C8B200,808BAE40
ovl_Bg_Treemouth,C8B200,C8C8E0,808BC500
ovl_Bg_Umajump,C8C8E0,C8CA60,808BDBE0
ovl_Bg_Vb_Sima,C8CA60,C8D200,808BDD60
ovl_Bg_Ydan_Hasi,C8D200,C8DA40,808BE500
ovl_Bg_Ydan_Maruta,C8DA40,C8E110,808BED40
ovl_Bg_Ydan_Sp,C8E110,C8F920,808BF410
ovl_Bg_Zg,C8F920,C8FE90,808C0C20
ovl_Boss_Dodongo,C8FE90,C99AC0,808C1190
ovl_Boss_Fd,C99AC0,CA1370,808CADC0
ovl_Boss_Fd2,CA1370,CA5570,808D2670
ovl_Boss_Ganon,CA5570,CC80C0,808D6870
ovl_Boss_Ganon2,CC80C0,CD9CA0,808FCF40
ovl_Boss_Ganondrof,CD9CA0,CDF070,80910640
ovl_Boss_Goma,CDF070,CE5160,80915A10
ovl_Boss_Mo,CE5160,CF1120,8091BB00
ovl_Boss_Sst,CF1120,CFD7E0,8092C5D0
ovl_Boss_Tw,CFD7E0,D11350,80938CD0
ovl_Boss_Va,D11350,D1FFE0,8094F2C0
ovl_Demo_6K,D1FFE0,D23160,80966950
ovl_Demo_Du,D23160,D26B40,80969AD0
ovl_Demo_Ec,D26B40,D2A5E0,8096D4B0
ovl_Demo_Effect,D2A5E0,D30A20,80970F50
ovl_Demo_Ext,D30A20,D314D0,80977390
ovl_Demo_Geff,D314D0,D31FC0,80977E40
ovl_Demo_Gj,D31FC0,D35F00,80978930
ovl_Demo_Go,D35F00,D36D00,8097C870
ovl_Demo_Gt,D36D00,D3C990,8097D670
ovl_Demo_Ik,D3C990,D3E270,80983300
ovl_Demo_Im,D3E270,D42510,80984BE0
ovl_Demo_Kankyo,D42510,D46610,80988E80
ovl_Demo_Kekkai,D46610,D47AA0,8098CFD0
ovl_Demo_Sa,D47AA0,D4A870,8098E460
ovl_Demo_Shd,D4A870,D4CD00,80991230
ovl_Demo_Tre_Lgt,D4CD00,D4D530,809936C0
ovl_Door_Ana,D4D530,D4DC20,80993EF0
ovl_Door_Gerudo,D4DC20,D4E290,809945E0
ovl_Door_Killer,D4E290,D4F8E0,80994C50
ovl_Door_Shutter,D4F8E0,D51C60,809962A0
ovl_Door_Toki,D51C60,D51DC0,80998620
ovl_Door_Warp1,D51DC0,D562E0,80998780
ovl_Efc_Erupc,D562E0,D56F00,8099CCB0
ovl_Eff_Dust,D56F00,D583E0,8099D8D0
ovl_Effect_Ss_Blast,D583E0,D587E0,8099EDB0
ovl_Effect_Ss_Bomb,D587E0,D58C80,8099F1B0
ovl_Effect_Ss_Bomb2,D58C80,D59670,8099F650
ovl_Effect_Ss_Bubble,D59670,D59B80,809A0040
ovl_Effect_Ss_D_Fire,D59B80,D5A0D0,809A0550
ovl_Effect_Ss_Dead_Db,D5A0D0,D5A610,809A0AA0
ovl_Effect_Ss_Dead_Dd,D5A610,D5AC40,809A0FE0
ovl_Effect_Ss_Dead_Ds,D5AC40,D5B160,809A1610
ovl_Effect_Ss_Dead_Sound,D5B160,D5B2E0,809A1B30
ovl_Effect_Ss_Dt_Bubble,D5B2E0,D5B900,809A1CB0
ovl_Effect_Ss_Dust,D5B900,D5C190,809A22D0
